cycle,actual_soh,forecast_soh
0.7068273092369477,0.2937000638398999,0.2975245777656536
0.7108433734939757,0.2871125237642665,0.29328532610074204
0.7148594377510039,0.2869204725028937,0.28851832517313164
0.718875502008032,0.2813323226089415,0.28470748423576997
0.7228915662650601,0.2748962512493945,0.27981139397231414
0.7269076305220883,0.2707648181202374,0.2758980850051198
0.7309236947791163,0.2708640166088095,0.2714000252752869
0.7349397590361445,0.2614170883388852,0.2667336205949198
0.7389558232931726,0.2586928540819059,0.2629474810265306
0.7429718875502007,0.2618306293043402,0.2579422001185748
0.7469879518072288,0.2580737378036165,0.25355536410164853
0.7510040160642569,0.2514976323482216,0.24919536760339736
0.755020080321285,0.2484857692448639,0.24474199286748743
0.7590361445783131,0.2398087426064726,0.24044645813063298
0.7630522088353412,0.22967739618237,0.23596315264513726
0.7670682730923694,0.2338908002284699,0.23164218515054397
0.7710843373493975,0.2293887283845366,0.22721817130693103
0.7751004016064256,0.2266771897236269,0.22276160325593297
0.7791164658634537,0.2228342210966811,0.21845000397701772
0.7831325301204818,0.2168172204358776,0.21392794390535835
0.78714859437751,0.2146635712023599,0.2095065180074465
0.791164658634538,0.2129290787772675,0.20508556424295826
0.7951807228915662,0.2097772158253101,0.20064472549322732
0.7991967871485942,0.20931837599678,0.1962265279628184
0.8032128514056224,0.1980809582943983,0.19177245596624046
0.8072289156626504,0.1937994952529655,0.18734177765108972
0.8112449799196786,0.1830310781864657,0.18288955948306823
0.8152610441767068,0.1837161917905141,0.17842773110098223
0.8192771084337348,0.1745026012096628,0.17398634223314996
0.823293172690763,0.174813443233984,0.1695052148640507
0.827309236947791,0.1706732143733544,0.16503701216691868
0.8313253012048192,0.164260924328858,0.1605647723683073
0.8353413654618472,0.1639085158332505,0.15608504449422045
0.8393574297188754,0.1649446639716799,0.15160502357927425
0.8433734939759034,0.1479672962261777,0.14711479847470282
0.8473895582329316,0.1569395442977754,0.14262439858057252
0.8514056224899597,0.1453369595848076,0.13812621216747964
0.8554216867469878,0.1481648332408159,0.13362225431592353
0.859437751004016,0.1403195042357273,0.1291176077941712
0.863453815261044,0.1359221859348948,0.12460207999916763
0.8674698795180722,0.1257022469972775,0.12008458209742774
0.8714859437751002,0.1295992120555695,0.1155622378941273
0.8755020080321284,0.1287276250656802,0.11103445853912625
0.8795180722891565,0.1185221104879162,0.10650245752393175
