loss,mae,val_loss,val_mae
8367.3271484375,79.07486724853516,4972.03173828125,60.92595291137695
8326.1318359375,78.86994934082031,4953.6142578125,60.7862663269043
8297.9169921875,78.71199035644531,4933.6103515625,60.638267517089844
8263.2587890625,78.51307678222656,4903.783203125,60.41718292236328
8214.6064453125,78.22860717773438,4861.31591796875,60.09516143798828
8148.814453125,77.83650207519531,4800.94091796875,59.631797790527344
8049.6806640625,77.24320220947266,4715.03515625,58.97083282470703
7914.9912109375,76.4328842163086,4591.384765625,58.02349853515625
7715.75390625,75.24371337890625,4414.3916015625,56.65589141845703
7448.25146484375,73.60868835449219,4170.65283203125,54.76011276245117
7057.5517578125,71.27105712890625,3846.33544921875,52.209922790527344
6574.65771484375,68.2159652709961,3434.97705078125,48.94524383544922
5955.6826171875,64.36036682128906,2940.443603515625,44.889434814453125
5194.1396484375,59.40427780151367,2362.699951171875,40.02877426147461
4321.1337890625,53.528202056884766,1764.209228515625,34.75841522216797
3418.440185546875,47.51421356201172,1236.8076171875,29.518632888793945
2582.40576171875,41.28541564941406,879.0523071289062,25.392711639404297
2011.7686767578125,36.76643371582031,752.849853515625,23.164011001586914
1624.9727783203125,33.21053695678711,811.6283569335938,23.329557418823242
1524.341552734375,32.58165740966797,917.1361694335938,24.796918869018555
1474.9876708984375,31.923084259033203,949.80029296875,25.065401077270508
1342.4530029296875,30.266204833984375,926.5230102539062,24.71953582763672
1314.625732421875,30.002456665039062,879.2616577148438,24.11651039123535
1303.5179443359375,29.990285873413086,831.3433837890625,23.4840145111084
1226.35009765625,28.992826461791992,794.0048828125,22.954116821289062
1205.6510009765625,28.76276206970215,769.9872436523438,22.576053619384766
1078.0078125,27.15214729309082,751.8430786132812,22.264745712280273
1074.328125,27.074783325195312,743.460205078125,22.06338882446289
1024.4971923828125,26.25767707824707,725.4256591796875,21.74024200439453
960.40966796875,25.532596588134766,695.25927734375,21.268878936767578
929.6400146484375,25.20043182373047,667.046142578125,20.810319900512695
898.163818359375,24.85427474975586,647.3521118164062,20.44737434387207
850.98828125,23.952482223510742,632.9363403320312,20.14348602294922
832.4476928710938,23.43320083618164,618.0580444335938,19.830514907836914
794.7422485351562,22.75185775756836,592.015625,19.3662052154541
798.9063720703125,23.205556869506836,562.6063232421875,18.843063354492188
733.3265991210938,22.299348831176758,540.3399658203125,18.402141571044922
675.9219970703125,21.1734676361084,514.956787109375,17.907773971557617
612.5728759765625,20.030296325683594,485.5587463378906,17.341812133789062
626.2950439453125,20.176776885986328,467.2893981933594,16.91720962524414
574.2975463867188,19.400449752807617,448.760986328125,16.472644805908203
537.9947509765625,18.522537231445312,419.8462829589844,15.860604286193848
522.9577026367188,18.32752227783203,396.5943908691406,15.312843322753906
477.9784851074219,17.358722686767578,374.4336242675781,14.76169490814209
438.61492919921875,16.439868927001953,351.9051208496094,14.188220977783203
426.0896301269531,16.6356258392334,325.86553955078125,13.532830238342285
380.4027404785156,15.40996265411377,299.2139892578125,12.836655616760254
343.0278625488281,14.65077018737793,281.51123046875,12.305693626403809
332.2107849121094,14.010299682617188,259.1293640136719,11.694859504699707
317.3551025390625,13.89755916595459,239.98045349121094,11.137309074401855
289.9864501953125,13.29798698425293,221.67015075683594,10.595931053161621
260.9378356933594,12.647941589355469,209.12002563476562,10.210026741027832
270.8890380859375,12.705453872680664,201.88023376464844,9.99940299987793
233.8483123779297,11.815712928771973,187.4703826904297,9.670811653137207
216.8551025390625,11.580768585205078,172.2147674560547,9.336042404174805
216.7259979248047,11.535125732421875,158.42605590820312,9.035370826721191
215.0415496826172,11.722932815551758,151.4354248046875,8.87031364440918
219.86929321289062,11.921427726745605,143.7174835205078,8.68470287322998
197.57525634765625,11.08657455444336,141.59329223632812,8.629928588867188
220.45538330078125,11.742769241333008,134.53065490722656,8.452564239501953
198.69229125976562,11.245384216308594,128.85301208496094,8.343006134033203
214.31922912597656,11.72636604309082,125.69406127929688,8.296602249145508
177.22576904296875,10.601723670959473,123.07069396972656,8.269575119018555
204.23452758789062,11.58114242553711,121.14165496826172,8.253355979919434
188.26559448242188,11.082375526428223,123.92621612548828,8.283546447753906
194.14862060546875,11.20652961730957,123.7506332397461,8.294415473937988
203.42298889160156,11.57565975189209,115.80133819580078,8.277421951293945
185.88064575195312,11.173718452453613,112.37599182128906,8.307893753051758
201.11563110351562,11.714825630187988,119.42449188232422,8.27861499786377
186.51904296875,11.117779731750488,122.61300659179688,8.329035758972168
208.26788330078125,11.74852180480957,113.16248321533203,8.292000770568848
185.41465759277344,11.171995162963867,110.44249725341797,8.310445785522461
179.92807006835938,11.007901191711426,113.7123031616211,8.295086860656738
197.2274169921875,11.388276100158691,118.47527313232422,8.318342208862305
196.16949462890625,11.325737953186035,115.17819213867188,8.298423767089844
177.44261169433594,10.797270774841309,112.94532775878906,8.292835235595703
199.27024841308594,11.469171524047852,113.44634246826172,8.290571212768555
191.33865356445312,11.456043243408203,116.1116943359375,8.303975105285645
179.6827850341797,10.885871887207031,116.28057098388672,8.309087753295898
187.75454711914062,11.133934020996094,115.9395980834961,8.317793846130371
216.79043579101562,11.939340591430664,112.65647888183594,8.298608779907227
181.9401397705078,10.974544525146484,109.96495819091797,8.286253929138184
195.69351196289062,11.568163871765137,114.40118408203125,8.311431884765625
181.02078247070312,10.876120567321777,115.0393295288086,8.334739685058594
167.61541748046875,10.42953109741211,109.1931381225586,8.306669235229492
182.00318908691406,11.031763076782227,109.16442108154297,8.302042961120605
184.55284118652344,11.21583080291748,111.270263671875,8.304795265197754
169.6726837158203,10.520927429199219,114.9935073852539,8.330559730529785
169.79086303710938,10.612211227416992,111.21176147460938,8.306933403015137
188.79345703125,11.404001235961914,109.87686157226562,8.298450469970703
198.61814880371094,11.528472900390625,113.46336364746094,8.32766056060791
173.1015167236328,10.540521621704102,111.37300109863281,8.307004928588867
178.96759033203125,10.814038276672363,109.27143859863281,8.285465240478516
172.20494079589844,10.666726112365723,111.55857849121094,8.304961204528809
179.17230224609375,10.673323631286621,110.48482513427734,8.287562370300293
186.1285858154297,11.225311279296875,110.41790008544922,8.289536476135254
