fold,train_batteries,validation_batteries,test_batteries,mae,rmse,r2,test_loss_mse,test_metric_mae,train_windows,validation_windows,test_windows
1,"B7,B18",B6,B5,17.297225952148438,23.106579181368318,0.7465597987174988,533.9140014648438,17.297225952148438,282,159,159
2,"B5,B7",B18,B6,26.9033145904541,31.444085767997077,0.5306658744812012,988.73046875,26.903316497802734,318,123,159
3,"B6,B18",B5,B7,15.86166763305664,21.05458748816692,0.7895748615264893,443.29559326171875,15.861665725708008,282,159,159
4,"B5,B6",B7,B18,20.600282669067383,23.425506045677942,0.5647109746932983,548.7543334960938,20.600282669067383,318,159,123
