model,mae,rmse,r2,trainable_params
Small GLU,35.890201568603516,43.92274073097343,0.08423709869384766,401
Medium GLU,29.331758499145508,33.378394022181475,0.47114694118499756,1185
Large GLU,29.84739875793457,34.025499542852046,0.45044243335723877,7809
Medium GLU + Pooling,27.977354049682617,32.01630177115344,0.5134286880493164,1697
Two GLU Blocks + Pooling,26.165788650512695,30.495105788483194,0.5585673451423645,3809
Two GLU Blocks + Residual + Pooling,27.442333221435547,31.880038472802127,0.5175616145133972,3809
